Year,Month,Country,Model,Segment,Engine Type,Active Dealership Count,Gdp_Growth_Percent,Interest_Rate_Percent,Competition By Rivarly Index,Model Units Sold,Price_INR,Marketing_Spend_INR,Fuel_Price_INR
2020,11,Canada,i4,Electric,Petrol,395,5.83,4,8,905,4904382.6,6197353.5,79.76
2017,11,Canada,X5,Electric,Hybrid,378,6.8,6,9,798,4032751.36,16956401.44,63.09
2022,9,Australia,X5,SUV,Diesel,143,7.24,6.25,7,311,9281638.2,10272312.6,105.41
2015,11,USA,3 Series,SUV,Hybrid,55,8,6.75,9,170,3573860.65,22149455.4,60.49
2020,9,UK,X1,Sedan,Petrol,59,5.83,4,10,282,6666184.2,24268491,79.76
2018,5,India,X3,Sedan,Hybrid,175,6.53,6.5,2,668,3764117.21,9844330.16,75.55
2015,10,USA,7 Series,Sedan,Diesel,115,8,6.75,6,284,4590638.15,16241432.85,60.49
2021,4,China,i7,Sedan,Electric,225,9.05,4,3,641,8166903.36,31594221.12,99.86
2023,11,Australia,3 Series,Electric,Diesel,155,8.2,6.5,6,550,9610735.15,7368216.52,96.72
2018,6,India,X5,SUV,Petrol,81,6.53,6.5,3,626,2501501.03,21631346.66,75.55
2018,12,Canada,X5,SUV,Electric,339,6.53,6.5,8,1033,4332506.5,28964054.07,75.55
2020,7,Germany,iX,Sedan,Hybrid,282,5.83,4,4,730,5097931.8,24569114.7,79.76
2017,5,Brazil,X3,Sedan,Hybrid,256,6.8,6,10,705,7581075.04,3525401.44,63.09
2020,11,Canada,X3,Electric,Hybrid,195,5.83,4,6,542,3392668.5,5927407.2,79.76
2021,10,UK,iX,Electric,Electric,79,9.05,4,9,380,7926219.84,31244801.28,99.86
2024,9,Japan,X3,Sedan,Diesel,159,6.8,6.5,2,605,8066822.4,13739648,94.77
2024,3,Germany,X5,SUV,Electric,255,6.8,6.5,2,646,8355859.2,18802617.6,94.77
2017,7,Brazil,i4,SUV,Electric,271,6.8,6,7,738,3405580.64,11150172,63.09
2021,10,Brazil,5 Series,SUV,Petrol,35,9.05,4,2,467,7901604.48,28020189.12,99.86
2017,10,China,X5,Sedan,Electric,149,6.8,6,2,406,6432032.64,25125510.08,63.09
2016,11,China,3 Series,SUV,Hybrid,108,8.26,6.25,4,346,3667297.39,23273205.01,59.68
2024,5,France,X1,Electric,Diesel,287,6.8,6.5,9,784,7503974.4,21635910.4,94.77
2018,7,Canada,iX,Electric,Diesel,60,6.53,6.5,8,182,2493636.18,4727253.58,75.55
2022,2,Canada,7 Series,Sedan,Diesel,160,7.24,6.25,2,431,7794997.8,26417460,105.41
2023,4,Canada,i7,Electric,Hybrid,113,8.2,6.5,8,309,4170693.27,9402989.03,96.72
2021,2,France,7 Series,Sedan,Hybrid,98,9.05,4,4,381,8212955.52,8024755.2,99.86
2015,12,USA,X5,SUV,Hybrid,150,8,6.75,2,553,5367109.75,27100424.1,60.49
2017,7,Brazil,3 Series,SUV,Hybrid,222,6.8,6,10,632,5171439.68,16264175.84,63.09
2023,2,Germany,X5,SUV,Hybrid,242,8.2,6.5,7,887,9578945.7,38632521.32,96.72
2015,11,UK,X1,Electric,Electric,192,8,6.75,6,759,6900807.95,18428242.2,60.49
2023,1,Brazil,i4,Sedan,Hybrid,260,8.2,6.5,10,615,3995232.02,25870171.84,96.72
2022,9,China,i7,SUV,Hybrid,18,7.24,6.25,5,111,7031556,28081264.8,105.41
2015,1,India,X1,Sedan,Hybrid,88,8,6.75,1,492,2644327.15,13918561.35,60.49
2020,8,Japan,iX,SUV,Hybrid,61,5.83,4,2,245,4332923.4,14531306.4,79.76
2019,2,France,iX,Electric,Diesel,395,4.04,5.15,8,1114,3946688.9,25699145.22,72.96
2020,12,Australia,X5,Electric,Hybrid,278,5.83,4,1,641,2958220.2,25745155.8,79.76
2024,8,India,3 Series,Sedan,Electric,235,6.8,6.5,3,737,4801139.2,40521977.6,94.77
2019,3,UK,X1,Electric,Electric,60,4.04,5.15,2,225,5476633.82,22228777.2,72.96
2020,6,Canada,X7,Electric,Electric,195,5.83,4,5,451,6471523.5,14880984.3,79.76
2019,3,China,3 Series,Sedan,Petrol,43,4.04,5.15,4,265,6193368.58,5659866.66,72.96
2019,7,China,i4,SUV,Diesel,300,4.04,5.15,7,609,7444379.88,12114070.92,72.96
2018,10,China,iX,Electric,Hybrid,239,6.53,6.5,5,703,3435913.6,5489665.3,75.55
2017,9,Canada,X5,Sedan,Petrol,140,6.8,6,8,327,2456065.92,29538562.24,63.09
2017,2,Australia,X3,Electric,Hybrid,129,6.8,6,4,591,3358498.88,18424466.72,63.09
2018,12,France,iX,Electric,Petrol,335,6.53,6.5,6,1069,8087459.45,16816348.71,75.55
2023,12,India,i7,Electric,Petrol,256,8.2,6.5,4,530,8976762.69,9510742.88,96.72
2016,5,Canada,5 Series,Electric,Electric,201,8.26,6.25,2,587,5312444.54,17520800.35,59.68
2023,6,UK,X3,Sedan,Electric,332,8.2,6.5,1,905,7994922.82,7256169.03,96.72
2015,4,France,X5,Sedan,Petrol,219,8,6.75,1,717,3541913.95,23205685.15,60.49
2015,4,UK,X7,Sedan,Electric,112,8,6.75,8,408,6858661.4,30942624.2,60.49
2019,4,France,X3,Electric,Petrol,338,4.04,5.15,4,976,7123053.42,3776342.92,72.96
2020,2,Australia,i7,Electric,Diesel,381,5.83,4,5,802,6365634.6,10072857.6,79.76
2020,4,Japan,3 Series,Electric,Electric,142,5.83,4,8,644,2627808.3,21109089.3,79.76
2017,11,UK,X7,Sedan,Electric,332,6.8,6,7,737,4361281.76,8564256.8,63.09
2021,1,Canada,iX,Electric,Electric,148,9.05,4,8,410,8108580.48,19081487.04,99.86
2023,12,France,X7,SUV,Diesel,130,8.2,6.5,8,511,4595103.07,8702052.3,96.72
2024,6,China,X1,Electric,Petrol,103,6.8,6.5,6,527,8627340.8,38260435.2,94.77
2022,1,Brazil,i7,SUV,Hybrid,138,7.24,6.25,10,521,4323628.8,21460315.2,105.41
2020,10,China,X3,Electric,Electric,100,5.83,4,2,355,7815623.4,7717070.4,79.76
2022,6,USA,X1,Sedan,Petrol,101,7.24,6.25,6,406,5752341,15284084.4,105.41
2019,1,Japan,X7,Electric,Diesel,72,4.04,5.15,1,250,7705145.14,3804440.5,72.96
2022,6,Japan,X1,SUV,Hybrid,38,7.24,6.25,1,407,8342525.4,38234341.2,105.41
2024,10,China,7 Series,SUV,Electric,219,6.8,6.5,3,914,5822336,32574796.8,94.77
2018,8,India,i7,Electric,Diesel,21,6.53,6.5,3,387,3932698.56,20793500.77,75.55
2024,11,Australia,i4,SUV,Diesel,342,6.8,6.5,5,798,7485504,14053312,94.77
2022,2,UK,3 Series,SUV,Hybrid,306,7.24,6.25,1,1027,4068807.6,11479923,105.41
2024,2,Canada,X7,Sedan,Petrol,139,6.8,6.5,10,314,3885024,36469305.6,94.77
2016,12,Japan,i7,Electric,Electric,302,8.26,6.25,6,953,3547363.24,17185992.58,59.68
2019,4,China,i4,Electric,Electric,182,4.04,5.15,7,797,5460578.06,31453726.78,72.96
2023,11,China,i4,Electric,Petrol,217,8.2,6.5,10,668,4092086.63,27540315.23,96.72
2018,3,Australia,X5,SUV,Petrol,33,6.53,6.5,3,459,4660026.21,22081010.91,75.55
2020,4,Australia,X1,Electric,Petrol,108,5.83,4,4,637,3245728.2,6184460.1,79.76
2015,12,Germany,i4,Electric,Hybrid,365,8,6.75,10,822,6982278.45,19762818.8,60.49
2023,7,Germany,7 Series,Sedan,Hybrid,148,8.2,6.5,10,309,6209676.85,7523365.55,96.72
2015,11,India,i7,Sedan,Electric,323,8,6.75,10,994,4436549.85,10269388.6,60.49
2019,1,India,5 Series,Sedan,Hybrid,183,4.04,5.15,10,496,3275656.72,27877587.92,72.96
2018,6,USA,5 Series,SUV,Diesel,38,6.53,6.5,10,354,5846797.88,26788431.39,75.55
2017,3,India,X7,Electric,Electric,152,6.8,6,3,381,4173280.32,24967268.48,63.09
2020,11,France,iX,Sedan,Hybrid,325,5.83,4,1,984,4852068,15543364.2,79.76
2016,10,Australia,X1,Sedan,Petrol,360,8.26,6.25,8,829,5851644.29,21067491.69,59.68
2017,7,Canada,iX,Sedan,Diesel,51,6.8,6,10,106,5389721.92,8046748.16,63.09
2019,10,France,i4,Electric,Petrol,308,4.04,5.15,10,720,5192559.54,7644795.2,72.96
2023,2,UK,i7,Electric,Electric,217,8.2,6.5,2,835,3654961.05,40505208.92,96.72
2016,2,China,X7,Electric,Petrol,339,8.26,6.25,1,1024,7121468.1,13361806.54,59.68
2024,4,India,X3,SUV,Hybrid,201,6.8,6.5,8,815,4192115.2,16719289.6,94.77
2022,1,China,i4,SUV,Hybrid,169,7.24,6.25,7,719,5692605,21014810.4,105.41
2016,3,Japan,X1,Sedan,Electric,73,8.26,6.25,7,377,5257886.26,19268076.3,59.68
2019,9,USA,5 Series,Electric,Petrol,252,4.04,5.15,4,663,6241606.28,19437610.08,72.96
2021,7,Japan,X5,Sedan,Electric,267,9.05,4,9,641,6110375.04,17058888,99.86
2022,7,USA,i7,Electric,Petrol,161,7.24,6.25,6,415,8681527.2,38323002,105.41
2015,11,Germany,3 Series,Electric,Diesel,224,8,6.75,2,651,2895923.45,9063625.2,60.49
2020,4,China,iX,Electric,Hybrid,331,5.83,4,1,877,3748052.1,31949252.4,79.76
2015,2,USA,X7,SUV,Electric,175,8,6.75,1,533,6571718.45,26394196.75,60.49
2016,4,Brazil,iX,SUV,Diesel,40,8.26,6.25,9,456,4328648.56,20145980.84,59.68
2015,6,France,i7,Electric,Diesel,380,8,6.75,4,814,4938523.6,4130618.5,60.49
2019,11,USA,iX,Sedan,Electric,241,4.04,5.15,5,557,5387482.1,18911079.74,72.96
2024,11,USA,i7,Electric,Electric,291,6.8,6.5,3,730,8128556.8,6431942.4,94.77
2023,3,France,iX,Electric,Diesel,38,8.2,6.5,4,550,5115789.49,22907890.52,96.72
2020,1,China,7 Series,Sedan,Petrol,204,5.83,4,8,842,4480382.4,20386466.1,79.76
2015,12,China,X3,Electric,Diesel,343,8,6.75,4,1071,3762333.35,19313191.45,60.49
2015,8,France,i4,Sedan,Electric,265,8,6.75,9,929,4943719.75,4779303.3,60.49
2016,12,Japan,i4,SUV,Diesel,290,8.26,6.25,9,977,4687040.02,4870334.34,59.68
2023,5,Brazil,X1,SUV,Petrol,313,8.2,6.5,6,989,3352011.72,35006129.49,96.72
2017,5,Canada,3 Series,Sedan,Hybrid,330,6.8,6,2,1096,3345474.88,14282769.6,63.09
2015,11,UK,3 Series,SUV,Hybrid,332,8,6.75,10,835,2487416.25,15318250.2,60.49
2019,4,Brazil,X1,SUV,Diesel,355,4.04,5.15,7,886,4393362.96,19597886,72.96
2021,6,China,X5,Sedan,Petrol,303,9.05,4,9,682,4141663.68,11377766.4,99.86
2020,3,Canada,i4,SUV,Hybrid,96,5.83,4,6,622,8816492.1,19456140.6,79.76
2015,9,Germany,X5,Electric,Diesel,158,8,6.75,3,482,5686191.85,25333604.8,60.49
2019,5,India,i7,Electric,Diesel,258,4.04,5.15,7,739,3496000.9,31968144.88,72.96
2019,3,USA,i7,Sedan,Petrol,330,4.04,5.15,5,1062,4655114.1,7942319.7,72.96
2020,11,France,5 Series,SUV,Electric,292,5.83,4,1,995,3606298.8,9340305,79.76
2017,1,France,iX,Electric,Diesel,371,6.8,6,3,759,3318515.2,4736698.56,63.09
2019,10,USA,3 Series,Electric,Electric,388,4.04,5.15,5,895,3264459.94,8748347.02,72.96
2021,12,India,5 Series,SUV,Electric,207,9.05,4,7,754,7362727.68,9136955.52,99.86
2019,6,UK,X3,SUV,Hybrid,53,4.04,5.15,3,203,6112174.32,24915018.52,72.96
2019,2,India,X1,Electric,Electric,365,4.04,5.15,6,1193,3577617.68,30312781.94,72.96
2019,3,Canada,X1,Electric,Petrol,37,4.04,5.15,5,226,3494662.92,19532324.98,72.96
2024,1,India,i7,Sedan,Hybrid,26,6.8,6.5,1,267,5252582.4,27228614.4,94.77
2024,9,Canada,i4,Sedan,Hybrid,136,6.8,6.5,10,475,3573523.2,17196441.6,94.77
2017,8,India,X5,Electric,Hybrid,388,6.8,6,6,1119,2699158.88,21054989.12,63.09
2015,12,UK,3 Series,Sedan,Diesel,177,8,6.75,8,713,3468269.75,25821208.95,60.49
2019,2,UK,5 Series,Electric,Diesel,253,4.04,5.15,1,744,3107634.6,14957419.26,72.96
2023,12,China,X5,Electric,Electric,396,8.2,6.5,2,963,8032987.59,18757426.9,96.72
2015,11,USA,5 Series,Sedan,Hybrid,85,8,6.75,4,304,5561933.3,4883611.2,60.49
2017,8,UK,iX,Sedan,Hybrid,240,6.8,6,2,766,4688184.16,5310926.72,63.09
2018,12,Canada,X3,SUV,Petrol,213,6.53,6.5,9,434,4573581.25,21096263.3,75.55
2015,9,UK,X3,SUV,Electric,257,8,6.75,10,905,2633614.1,13019114.2,60.49
2015,1,China,X5,SUV,Petrol,311,8,6.75,8,662,5357615.55,12189847.15,60.49
2022,5,France,X5,Electric,Electric,223,7.24,6.25,8,513,8753524.8,8014213.2,105.41
2016,8,Canada,X5,Sedan,Electric,224,8.26,6.25,4,800,4345177.3,9410228.26,59.68
2022,11,China,5 Series,Electric,Diesel,167,7.24,6.25,5,679,6611203.2,19829050.8,105.41
2021,2,Japan,iX,Sedan,Diesel,78,9.05,4,4,221,4679653.44,5477398.08,99.86
2024,4,Japan,7 Series,Electric,Petrol,94,6.8,6.5,9,256,8493638.4,23790457.6,94.77
2024,7,Germany,X5,SUV,Electric,276,6.8,6.5,2,853,6899110.4,37933542.4,94.77
2016,3,India,i4,SUV,Hybrid,78,8.26,6.25,8,317,6589995.2,15701160.77,59.68
2020,12,USA,3 Series,SUV,Diesel,108,5.83,4,2,461,8472223.5,16298813.7,79.76
2020,5,Australia,3 Series,Electric,Hybrid,356,5.83,4,1,964,4543219.2,27067840.8,79.76
2017,8,Brazil,5 Series,Sedan,Petrol,225,6.8,6,10,453,6641263.2,16038535.04,63.09
2016,12,China,X5,Sedan,Diesel,170,8.26,6.25,3,622,6222331.52,3886068.03,59.68
2015,10,France,i7,SUV,Diesel,103,8,6.75,9,275,4829019.55,14781892.05,60.49
2020,3,Brazil,X1,SUV,Electric,183,5.83,4,3,400,4931429.1,16922291.1,79.76
2019,4,France,7 Series,SUV,Petrol,174,4.04,5.15,9,769,6450260.74,32560447.5,72.96
2023,9,Brazil,i4,SUV,Electric,124,8.2,6.5,7,519,6623104.84,36112484.92,96.72
2015,7,China,iX,Sedan,Diesel,229,8,6.75,10,861,2863463.55,27509059.6,60.49
2021,1,Australia,i7,Electric,Petrol,40,9.05,4,1,505,5784831.36,22028381.76,99.86
2019,12,Brazil,X3,Electric,Diesel,20,4.04,5.15,10,429,4978201.06,29502177.32,72.96
2019,4,China,i7,Electric,Petrol,352,4.04,5.15,5,1007,3156506.08,10732923.46,72.96
2016,4,UK,5 Series,Electric,Diesel,386,8.26,6.25,9,931,4162420.5,6786996.28,59.68
2017,9,Australia,7 Series,SUV,Hybrid,139,6.8,6,3,426,3808738.56,11734168.16,63.09
2021,6,Canada,X7,SUV,Hybrid,114,9.05,4,9,288,2603092.8,19822978.56,99.86
2020,9,France,X7,SUV,Electric,36,5.83,4,5,298,3447354.3,14684989.8,79.76
2016,12,Japan,X5,Electric,Hybrid,236,8.26,6.25,9,868,7451371,7264784.37,59.68
2020,6,India,X5,SUV,Diesel,11,5.83,4,10,92,7683354.9,11991232.5,79.76
2016,6,Japan,5 Series,SUV,Diesel,368,8.26,6.25,6,1006,3953056.46,3945396.8,59.68
2016,5,Australia,iX,Sedan,Hybrid,110,8.26,6.25,9,548,4667958.06,14696670.27,59.68
2016,5,Canada,X5,Sedan,Electric,30,8.26,6.25,7,187,5245254.54,19895160.57,59.68
2017,2,France,X1,SUV,Hybrid,67,6.8,6,7,286,2956448,17906046.4,63.09
2016,8,Canada,7 Series,Sedan,Petrol,398,8.26,6.25,8,916,3046730.55,18468246.54,59.68
2018,8,Brazil,5 Series,Sedan,Petrol,189,6.53,6.5,7,708,4711797.44,31755939.04,75.55
2023,11,France,3 Series,SUV,Petrol,350,8.2,6.5,9,1021,5276140.43,16585175.34,96.72
2020,1,Brazil,X3,SUV,Hybrid,358,5.83,4,9,749,4685268.9,8051335.5,79.76
2015,8,China,5 Series,SUV,Hybrid,29,8,6.75,6,417,2603399.45,15441867.25,60.49
2022,5,Australia,5 Series,SUV,Hybrid,264,7.24,6.25,7,631,3135904.2,11275012.8,105.41
2021,2,China,X7,Electric,Petrol,326,9.05,4,2,928,7875215.04,16886728.32,99.86
2024,2,Germany,i4,Electric,Electric,47,6.8,6.5,9,123,3291974.4,18635052.8,94.77
2017,6,Canada,iX,SUV,Diesel,157,6.8,6,1,380,7150631.84,15052032.16,63.09
2015,11,Brazil,i4,Sedan,Hybrid,34,8,6.75,1,446,7200131.85,10938024.05,60.49
2019,9,UK,X1,SUV,Electric,395,4.04,5.15,3,1088,3403328.18,24432641.52,72.96
2018,1,China,3 Series,SUV,Diesel,130,6.53,6.5,6,496,7303504.88,24737620.46,75.55
2024,12,Germany,X7,Sedan,Diesel,35,6.8,6.5,5,171,2930969.6,30205344,94.77
2022,6,USA,3 Series,Electric,Diesel,178,7.24,6.25,2,511,9213020.4,8660619.6,105.41
2015,9,Japan,X1,SUV,Electric,332,8,6.75,9,908,4622135.8,11038033.9,60.49
2024,8,France,i4,SUV,Electric,234,6.8,6.5,10,778,7718380.8,36650265.6,94.77
2015,11,Germany,5 Series,Electric,Petrol,10,8,6.75,4,247,5198202.8,14839370.45,60.49
2018,6,Australia,X5,Electric,Electric,316,6.53,6.5,4,834,4697435.54,16840558.77,75.55
2022,3,China,X5,Sedan,Electric,270,7.24,6.25,5,573,8801706.6,6772176,105.41
2019,8,Australia,i7,Electric,Electric,22,4.04,5.15,8,155,6919539.62,4869965.52,72.96
2016,9,Japan,X3,Electric,Diesel,57,8.26,6.25,10,529,2540386.71,8479915.52,59.68
2020,1,UK,iX,Electric,Hybrid,322,5.83,4,4,744,5689768.5,14745974.1,79.76
2019,12,Canada,X1,Sedan,Petrol,380,4.04,5.15,5,1087,5038339.74,19803934.92,72.96
2016,9,Canada,X3,Electric,Hybrid,300,8.26,6.25,4,684,5228591.42,33421716.99,59.68
2017,6,Australia,iX,Electric,Hybrid,341,6.8,6,6,933,6963086.24,18999801.92,63.09
2023,6,Brazil,X3,Sedan,Electric,103,8.2,6.5,3,235,8313230.17,20263751.41,96.72
2021,12,UK,i4,Electric,Petrol,270,9.05,4,8,553,8461252.8,30123952.32,99.86
2021,4,Canada,iX,Electric,Hybrid,287,9.05,4,6,644,5346855.36,26242117.44,99.86
2020,1,UK,i4,Sedan,Hybrid,368,5.83,4,10,1073,3821781.6,19481556.9,79.76
2022,10,Germany,5 Series,SUV,Petrol,214,7.24,6.25,5,597,5848233,9073505.4,105.41
2018,8,UK,X7,Sedan,Electric,194,6.53,6.5,2,827,7439395.81,12875511.74,75.55
2022,2,India,i4,Electric,Hybrid,184,7.24,6.25,10,425,5234838.6,19843277.4,105.41
2018,12,Japan,X5,Electric,Diesel,396,6.53,6.5,10,869,7040476.94,11719378.79,75.55
2022,1,Canada,X3,Electric,Hybrid,389,7.24,6.25,7,1067,8045181.6,20670699.6,105.41
2023,2,UK,i7,Sedan,Diesel,318,8.2,6.5,2,816,7193168.12,20418405.02,96.72
2017,1,Australia,7 Series,Electric,Electric,78,6.8,6,1,457,6374857.28,26589798.4,63.09
2017,1,USA,iX,Electric,Hybrid,113,6.8,6,7,533,4534631.2,5195078.24,63.09
2016,9,India,X1,Sedan,Petrol,255,8.26,6.25,5,775,2853223.35,20588830.13,59.68
2024,1,India,i7,SUV,Petrol,170,6.8,6.5,1,683,7633932.8,17243616,94.77
2017,4,Brazil,X5,SUV,Hybrid,209,6.8,6,4,525,4810479.52,30649444.32,63.09
2017,10,UK,i4,Electric,Electric,225,6.8,6,4,482,6373554.88,16156923.2,63.09
2019,6,Brazil,X7,Sedan,Electric,221,4.04,5.15,10,861,7938657.86,28121874.9,72.96
2019,7,Brazil,5 Series,Electric,Petrol,25,4.04,5.15,7,193,4542864.62,32351933.88,72.96
2016,2,USA,7 Series,Sedan,Hybrid,381,8.26,6.25,9,805,7791352.4,31218288.13,59.68
2024,6,Germany,3 Series,Sedan,Electric,341,6.8,6.5,2,883,6973907.2,19273196.8,94.77
2020,7,UK,i7,SUV,Petrol,214,5.83,4,1,714,7467501.6,24305615.1,79.76
2019,10,China,X7,SUV,Diesel,374,4.04,5.15,2,824,7405860.14,7922320.42,72.96
2020,10,Canada,3 Series,Sedan,Hybrid,48,5.83,4,7,347,8161003.5,14474545.8,79.76
2015,2,Brazil,7 Series,Electric,Diesel,98,8,6.75,10,298,5097487.3,22552958.9,60.49
2019,2,Japan,X1,SUV,Diesel,265,4.04,5.15,6,596,6787220.44,15230437.6,72.96
2023,10,France,X1,Electric,Electric,263,8.2,6.5,4,713,5579585.18,14164388.08,96.72
2024,7,Japan,X3,SUV,Electric,225,6.8,6.5,1,686,6398912,39472492.8,94.77
2016,12,USA,7 Series,SUV,Electric,377,8.26,6.25,1,785,7292197.89,12661216.41,59.68
2015,1,USA,7 Series,Electric,Hybrid,312,8,6.75,5,922,3860931.9,19580504.5,60.49
2024,8,Australia,3 Series,SUV,Diesel,181,6.8,6.5,1,514,4810041.6,7102118.4,94.77
2023,11,Germany,X7,SUV,Hybrid,146,8.2,6.5,7,570,9397456.84,24808073.93,96.72
2024,3,Canada,iX,Electric,Electric,393,6.8,6.5,1,1129,9425062.4,30262502.4,94.77
2023,11,Brazil,3 Series,SUV,Diesel,187,8.2,6.5,1,599,4422201.49,18112307.49,96.72
2023,6,Japan,5 Series,SUV,Hybrid,86,8.2,6.5,2,256,5206864.2,14588715.31,96.72
2020,9,France,X1,SUV,Hybrid,197,5.83,4,10,377,6955470.6,22686233.7,79.76
2022,6,USA,X1,Electric,Petrol,24,7.24,6.25,3,185,8418374.4,20108002.2,105.41
2015,9,USA,X3,Sedan,Hybrid,301,8,6.75,1,678,7670864.55,16224689.7,60.49
2024,7,Germany,5 Series,Electric,Electric,328,6.8,6.5,9,967,3417856,28991123.2,94.77
2018,9,France,X1,Sedan,Hybrid,334,6.53,6.5,10,966,3341125.06,26837877.36,75.55
2015,2,France,3 Series,SUV,Diesel,223,8,6.75,8,538,6587884.25,29706774.45,60.49
2022,12,Germany,5 Series,Sedan,Hybrid,217,7.24,6.25,5,880,4875165,28977226.2,105.41
2015,8,USA,3 Series,Electric,Petrol,178,8,6.75,2,495,5644045.3,28841455.1,60.49
2017,8,Canada,iX,Electric,Diesel,339,6.8,6,5,879,4954394.72,17306095.84,63.09
2018,2,UK,iX,SUV,Diesel,289,6.53,6.5,6,971,2692377.52,10782982.91,75.55
2022,12,UK,X1,Sedan,Petrol,314,7.24,6.25,1,1012,4880588.4,20281158,105.41
2020,4,Germany,X1,SUV,Electric,155,5.83,4,4,707,6005064,15486751.8,79.76
2024,11,France,X7,SUV,Diesel,272,6.8,6.5,9,753,8466931.2,12747488,94.77
2021,7,Brazil,iX,Electric,Electric,13,9.05,4,2,290,8726477.76,10992421.44,99.86
2022,11,Germany,i7,Sedan,Diesel,99,7.24,6.25,5,457,4636692.6,35872725.6,105.41
2016,4,Canada,i7,Sedan,Diesel,69,8.26,6.25,1,595,2439064.19,9597218.03,59.68
2024,4,Germany,X3,Sedan,Electric,320,6.8,6.5,4,1086,5292352,35793804.8,94.77
2022,6,India,iX,Sedan,Diesel,25,7.24,6.25,4,244,9153991.8,37739554.2,105.41
2017,10,Japan,3 Series,SUV,Electric,236,6.8,6,6,889,4537431.36,30426017.6,63.09
2021,6,France,3 Series,SUV,Petrol,38,9.05,4,10,415,4395726.72,21869010.24,99.86
2017,10,Australia,X5,Electric,Electric,160,6.8,6,9,527,7517452.8,18073665.28,63.09
2021,3,Australia,5 Series,SUV,Petrol,254,9.05,4,3,694,5608680,28977822.72,99.86
2016,9,France,i4,SUV,Diesel,279,8.26,6.25,9,848,4104032.39,26867937.2,59.68
2024,12,Canada,i7,Electric,Electric,88,6.8,6.5,6,426,4938252.8,26425484.8,94.77
2020,10,India,X1,Electric,Diesel,298,5.83,4,7,782,3949530,20560304.7,79.76
2017,11,India,X3,Electric,Electric,162,6.8,6,10,515,6471886.08,12765148,63.09
2017,2,USA,i4,SUV,Petrol,286,6.8,6,2,804,6244487.04,18601658.24,63.09
2023,6,Japan,7 Series,SUV,Petrol,288,8.2,6.5,10,869,5823249.25,39775868.11,96.72
2021,12,UK,X3,Electric,Electric,66,9.05,4,6,201,4548445.44,29945952.96,99.86
2019,7,China,7 Series,Electric,Petrol,195,4.04,5.15,6,524,2919894.88,9963937.06,72.96
2024,12,Canada,iX,Electric,Diesel,102,6.8,6.5,2,476,4289958.4,26513094.4,94.77
2021,9,China,7 Series,SUV,Diesel,285,9.05,4,2,884,6690794.88,19810190.4,99.86
2023,3,China,7 Series,SUV,Hybrid,167,8.2,6.5,2,430,9018212.83,19673293.34,96.72
2015,10,France,X7,Sedan,Petrol,284,8,6.75,10,849,4338721.1,31496174.55,60.49
2021,3,Australia,X7,SUV,Diesel,190,9.05,4,1,469,2591635.2,25377696.96,99.86
2020,7,Australia,X7,SUV,Electric,368,5.83,4,5,994,3280332.9,7086998.1,79.76
2024,4,UK,iX,SUV,Petrol,86,6.8,6.5,8,468,8165497.6,16977958.4,94.77
2023,8,France,i4,Electric,Diesel,160,8.2,6.5,2,786,4794427.05,6577608.77,96.72
2015,7,China,X3,SUV,Petrol,247,8,6.75,5,762,2430964.25,12476597.65,60.49
2018,5,Brazil,X3,Electric,Electric,298,6.53,6.5,8,640,7923597.01,22336242.39,75.55
2023,7,Australia,X1,Sedan,Diesel,240,8.2,6.5,10,640,3909854.64,31355462.08,96.72
2018,3,Canada,X7,Sedan,Hybrid,27,6.53,6.5,5,224,5795163.43,10506003.41,75.55
2024,12,Canada,iX,Electric,Hybrid,82,6.8,6.5,2,641,5575731.2,32302067.2,94.77
2017,2,USA,X1,Electric,Petrol,198,6.8,6,3,668,6271316.48,5410495.2,63.09
2023,6,Germany,5 Series,Electric,Electric,26,8.2,6.5,6,396,3877652.34,12143074.48,96.72
2016,2,Brazil,X1,SUV,Diesel,28,8.26,6.25,5,438,4589211.38,15569669.94,59.68
2018,3,Australia,i4,Sedan,Electric,228,6.53,6.5,4,951,2667962.29,30730772.94,75.55
2020,6,India,i7,Electric,Diesel,335,5.83,4,4,1066,4059346.2,11539074.3,79.76
2016,5,Australia,7 Series,SUV,Petrol,129,8.26,6.25,5,390,6899808.29,12303429.66,59.68
2022,8,USA,X7,Sedan,Diesel,110,7.24,6.25,2,303,5873385,30047050.8,105.41
2022,9,Canada,i7,SUV,Electric,43,7.24,6.25,9,247,3473805.6,27912903.6,105.41
2015,11,China,X1,Sedan,Electric,93,8,6.75,2,576,5033144.85,24205655.35,60.49
2017,3,India,iX,SUV,Petrol,205,6.8,6,10,693,7414758.56,5436022.24,63.09
2024,12,France,7 Series,Sedan,Electric,339,6.8,6.5,2,1095,5638380.8,13658195.2,94.77
2023,10,Japan,X3,Sedan,Diesel,211,8.2,6.5,10,482,4929429,30125912.21,96.72
2019,3,China,3 Series,SUV,Petrol,353,4.04,5.15,9,980,8123369.52,14773270.96,72.96
2020,3,Japan,7 Series,Electric,Diesel,350,5.83,4,3,1075,8256740.7,28919822.1,79.76
2018,6,Brazil,i4,Sedan,Electric,20,6.53,6.5,10,476,2753996.91,23810799.18,75.55
2024,1,Germany,i4,Electric,Petrol,356,6.8,6.5,7,1122,6562816,15735865.6,94.77
2016,7,India,X1,SUV,Diesel,227,8.26,6.25,4,641,2910670.8,12744666.39,59.68
